frame,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
0,-0.2781519112842424,0.006245906863893786,-0.4444665524753785,0.9999687075614928,-0.2927906289696693,0.012524315289088643,-0.4283795341671933,0.999886155128479,-0.29330313773382277,0.00874795232500347,-0.4284286334933271,0.9999250173568726,-0.2938263788819312,0.0057010679017929595,-0.42837745368125896,0.9999026656150818,-0.2900566313238372,0.03515376647313434,-0.4265128813151802,0.9998543858528136,-0.2883896018777575,0.0464938197817121,-0.4266066926398445,0.99989515542984,-0.2863468871939751,0.05720852954047065,-0.42668075566845276,0.999834418296814,-0.286465461765017,0.020714864844367593,-0.29948095081462744,0.9998496770858764,-0.27531238822709936,0.08919162693477811,-0.3491512131655499,0.9997580647468568,-0.2627860364459811,-0.006122134980701275,-0.39338140393651677,0.9999564290046692,-0.25784311479046235,0.029598433346975435,-0.39395309762940517,0.9999554753303528,-0.2032029039803004,-0.06104141331854324,-0.18226575966747022,0.9999654293060304,-0.189559596280257,0.144450123820986,-0.36490493081510056,0.9999589920043944,-0.09576800855852308,-0.1307802831842786,-0.19037440161974678,0.9777559638023376,-0.0639132413835753,0.10136501703943528,-0.4159298233155694,0.9889400005340576,-0.030589485097499158,-0.16907068235533582,-0.38517242448315764,0.9830085635185242,-0.006302755148637873,-0.06918761914684655,-0.4155147614046219,0.9752761721611024,-4.2489951565161864e-05,-0.20318270864940824,-0.4412689502572735,0.9692571759223938,0.02025266452914186,-0.11627350676627382,-0.453697195986197,0.9550582766532898,-0.0011328618441309253,-0.18471878625097726,-0.43706045787604114,0.9702454209327698,0.011433036909216859,-0.1332449089913141,-0.45776450483217146,0.9558448791503906,-0.009886093437671703,-0.16923943020048593,-0.4020747433283501,0.9680325984954834,0.0025686554255939615,-0.12502852295126224,-0.4157779010101442,0.9553624987602234,-0.011070253948370651,-0.06023484042712623,0.06637307832993201,0.9994988441467284,0.011070253948370617,0.06023484042712624,-0.06637307832993201,0.9997169971466064,0.027545194895494538,-0.3296745916207631,-0.09565672591062525,0.9818806648254396,0.09169442632368628,-0.1394807937599364,-0.37392135913528146,0.9923267364501952,0.159154804334754,-0.32601209375120344,0.08810228650413797,0.9797468781471252,0.23639279071773805,-0.1576873113711675,-0.2236935105174782,0.9876790642738342,0.18085686259326486,-0.2891443776232855,0.10323327398371114,0.9286566376686096,0.25431329898890986,-0.12435448595455711,-0.20843563787639152,0.8926286101341248,0.20191129935639232,-0.4398591397773651,0.06073354016102489,0.9706721305847168,0.29413500321762887,-0.26149422356060575,-0.28779625174190343,0.976264476776123
1,-0.27169924229383474,0.009717177067484175,-0.410146993984069,0.9999708533287048,-0.28478765594107763,0.018107778259686045,-0.39279283556555006,0.9998939633369446,-0.2849695373858725,0.015354563082967471,-0.3928149744336095,0.9999300837516784,-0.2851291564958436,0.013383441737719926,-0.3927401663469417,0.9999094009399414,-0.2831592102135932,0.039142593741416924,-0.39445087074169094,0.9998636841773988,-0.2820611872843334,0.04952848596232276,-0.3945278969726392,0.9999014735221864,-0.28066943585872656,0.05979194598538533,-0.3945477729929344,0.9998438954353333,-0.2767557650804521,0.03477259831769125,-0.2696192400263889,0.9998598694801332,-0.26933132537773674,0.0934340932539531,-0.3408244355980839,0.9997714757919312,-0.25571654417685113,0.0015277117490768337,-0.3606791174305337,0.999958872795105,-0.2524225488305093,0.030269271561077678,-0.36654145350413664,0.999958038330078,-0.1951513843876974,-0.04298100939818794,-0.16211608132081368,0.9999653697013856,-0.1843903937510083,0.1580957663910729,-0.3519168748919453,0.9999544024467468,-0.09022307395935057,-0.11470461743218559,-0.1328121929296427,0.9753262996673584,-0.05820214961256305,0.09865004888602669,-0.3852452760828393,0.989050269126892,-0.02452856515135088,-0.16980202283178059,-0.2875950317829849,0.9821942448616028,-0.0012651085853576972,-0.07493480614253453,-0.3784417464796984,0.9752179980278016,0.0047052651643752835,-0.20634117083890097,-0.3340734964502713,0.9676459431648254,0.02303635222571232,-0.11895403691700526,-0.4132599742817027,0.9550463557243348,0.0031397683279854724,-0.1870961636304855,-0.33579283181045755,0.9690303206443788,0.013414770364761285,-0.1365893908909389,-0.42097458855382053,0.9557814002037048,-0.005768443856920556,-0.17073303886822294,-0.30567414872348314,0.9667950868606568,0.005036328520093632,-0.12852502082075384,-0.3798335660248994,0.9543890953063964,-0.01129344318594254,-0.0544009783438274,0.07189000797058845,0.9993110299110411,0.011293443185942503,0.05440097834382741,-0.07189000797058845,0.9996158480644226,0.027886220387050038,-0.3274097879018103,-0.07840978600350869,0.9771979451179504,0.09761036506720946,-0.14402006140777046,-0.32263611443340773,0.992147982120514,0.15851516595908574,-0.3236762721623694,0.11584329365619583,0.9745240807533264,0.23983799346855714,-0.15385451912879944,-0.16161658641483118,0.9876015186309814,0.18002237379550937,-0.29243463277816767,0.1329033973493745,0.924146831035614,0.25839477564607344,-0.12308797453130994,-0.14618135749229375,0.8943307995796204,0.2010765565293175,-0.43707530626228874,0.08457933020378856,0.966219425201416,0.2953526654413767,-0.2596701724188669,-0.22275496460497396,0.9760650992393494
2,-0.26682883926800327,0.013419736708913532,-0.3791474082640238,0.9999735355377196,-0.27884445445878164,0.023541448371750956,-0.36117563928876617,0.9999037384986876,-0.2788025342992375,0.021570212074688493,-0.3611819807972228,0.9999364018440248,-0.27871840979371754,0.02037642896175383,-0.36110751969473703,0.99991774559021,-0.2779681831598283,0.04312723236424583,-0.36689430049487526,0.9998759627342224,-0.2772598969084876,0.05279728131634847,-0.36695985496044164,0.999910056591034,-0.2763197411383902,0.06269753617899756,-0.366940255675997,0.9998575448989868,-0.2697053636823383,0.04613948506968363,-0.24401386720793591,0.9998725056648254,-0.26481842568942476,0.09751703696591513,-0.3310168364218304,0.9997908473014832,-0.2503889703324864,0.008485012820788784,-0.3314952722617558,0.9999623894691468,-0.2482456532972201,0.03191370836326056,-0.3429764275039946,0.9999616146087646,-0.18907090382916586,-0.029697488461221992,-0.14452087932399343,0.9999675750732422,-0.1798198595643045,0.16909647200788766,-0.3387150807040079,0.9999507069587708,-0.08614704332181385,-0.10200794466904234,-0.08860078480626865,0.9755194187164308,-0.05348332545587001,0.09782102916921892,-0.3586973079613277,0.989116907119751,-0.02011504875762126,-0.16922732761928017,-0.20990258189184333,0.9827495217323304,0.0025631796036447406,-0.07814444175788338,-0.3479187935590743,0.9745437502861024,0.00832029857805794,-0.20686207285949162,-0.24879130401781652,0.968027114868164,0.02502538795982085,-0.12005687185696196,-0.3798528675522123,0.953989028930664,0.006553201803139251,-0.18726639449596405,-0.2565532795020513,0.9695398807525636,0.014958080436502121,-0.13785728812217718,-0.3898974444184986,0.9546831846237184,-0.0024353702153478715,-0.170483661549432,-0.22825517718281066,0.9671446084976196,0.007019882755620119,-0.12996289985520496,-0.3499323172228677,0.9522270560264589,-0.011704348027706162,-0.05052687653473446,0.07496731249349448,0.9992963671684264,0.011704348027706129,0.05052687653473447,-0.07496731249349448,0.999582588672638,0.02831515989133284,-0.32417854773146776,-0.0596066382048385,0.9715015888214112,0.10150974031005583,-0.1458022530589785,-0.28347279450723095,0.9912827610969543,0.1576218764696803,-0.3206203154155187,0.13922663724848197,0.9665756225585938,0.2421113284570831,-0.1508831743683134,-0.12093006340520732,0.9860677123069764,0.1789013562457902,-0.2937748325722558,0.15723171936614164,0.9150969386100768,0.26126542580979206,-0.12247770386082787,-0.1061843037605287,0.8848581910133362,0.20024118572473523,-0.43236684586320606,0.10715022629925178,0.9596534967422484,0.29564161705119263,-0.2580808017935073,-0.18268505483865746,0.9734342098236084
3,-0.2635407022067481,0.017353585788181865,-0.3514677953152432,0.999975860118866,-0.2749610245227817,0.028825325625283404,-0.33352794533684166,0.9999125003814696,-0.274802128473918,0.027394899300166566,-0.333529652584167,0.9999420642852784,-0.27459413877555333,0.02668002957389471,-0.3334795137246453,0.9999252557754515,-0.2744835501625428,0.04710768234162108,-0.34384317057473346,0.999886989593506,-0.27398573075022037,0.05630020584378929,-0.34390256660325214,0.9999178051948548,-0.27329780303296614,0.06592530012130743,-0.34385820371764075,0.9998698234558104,-0.2653142575706757,0.05481552510034475,-0.22266483235926873,0.9998839497566224,-0.26177368916216376,0.10144045807066426,-0.31972841563678944,0.9998080730438232,-0.24680331491288715,0.014749768234434595,-0.3058298684301832,0.9999654293060304,-0.2453124281905949,0.03453174375352409,-0.3232580196289792,0.999964714050293,-0.1849614623047059,-0.021190850507645402,-0.1294801536770095,0.9999691247940063,-0.17584799372014567,0.17745224067143045,-0.3252995482512885,0.9999441504478456,-0.08353991664591301,-0.09269026489484888,-0.057740177249624616,0.9744829535484314,-0.04975676891349618,0.09887795788901202,-0.33628591895103477,0.988766312599182,-0.017348935916310315,-0.16734659671783464,-0.152095074809733,0.9829394221305848,0.005182109418369442,-0.07881652599289315,-0.3239459026427499,0.9729307293891908,0.010802610289482827,-0.20474541471118038,-0.18542237295990913,0.967892289161682,0.026219771731467497,-0.11958201158614398,-0.3534758757977262,0.9519051909446716,0.009107438581330422,-0.18522947884741303,-0.1993418009508225,0.9695971608161926,0.016062967124439373,-0.13704860068502894,-0.3645330724262059,0.9525535702705384,0.00011312748704635103,-0.16849129824411319,-0.16981782870633272,0.9669498801231384,0.008519318132173428,-0.1293421600546157,-0.3260741546040492,0.9486918449401855,-0.012302968473661535,-0.048612534999847454,0.07560499189865023,0.9992890357971193,0.012302968473661507,0.048612534999847454,-0.07560499189865023,0.9995508193969728,0.02883201340834296,-0.3199808711097358,-0.03924728251461471,0.9684248566627502,0.10339255205222547,-0.1448273687135607,-0.2564313993567514,0.9910098910331726,0.15647493586653768,-0.3168442235106517,0.15825231728099654,0.9630487561225892,0.24321279568331602,-0.14877327708970947,-0.10163394148860662,0.9860612154006958,0.17749380994410757,-0.2931649770055501,0.17621824003401265,0.9104176759719848,0.2629252494800661,-0.12252367394311102,-0.0884444766810963,0.8824909925460815,0.19940518694264564,-0.4257337585801174,0.12844622844741468,0.9571433663368224,0.2950018580470769,-0.25672611168452697,-0.16758652244295405,0.9732453227043152
4,-0.26267290895893486,0.02114512806846984,-0.3319028326798056,0.9999781250953674,-0.27395975376878495,0.033383386475699314,-0.3166743483216992,0.9999207258224488,-0.27383042091415066,0.032203149227868974,-0.31670957182844506,0.999947428703308,-0.2736668253228781,0.031513662565322176,-0.31681698081748855,0.9999322891235352,-0.27328728707063793,0.05015486478805546,-0.3400259339028884,0.9998975396156312,-0.27269803342365107,0.05893613327117199,-0.34009951157938895,0.9999253153800964,-0.2719728868632092,0.06842761947995146,-0.34004681255845826,0.9998818039894104,-0.2646652325278239,0.05791705846786504,-0.21873635922869067,0.9998947381973268,-0.26100586212816723,0.10429755846659353,-0.32271765615968506,0.9998255968093872,-0.24614663351149813,0.02002175649007163,-0.28960621729493163,0.9999685287475586,-0.2446101471072154,0.038144389788309765,-0.32218485449751244,0.9999679327011108,-0.1834750565744584,-0.021895547707875593,-0.12720635054366936,0.9999703764915466,-0.17231849616482167,0.1810832960265025,-0.32470936949054424,0.9999432563781738,-0.08322002774193182,-0.08838158987817321,-0.05098413179318108,0.9731658697128296,-0.046926184779121825,0.10255945580346254,-0.332545240187929,0.9885184168815612,-0.0178118135247912,-0.16439059944379913,-0.10715493471139959,0.9827373027801514,0.007387734594799217,-0.07449808149110715,-0.3226795900790467,0.9714177846908568,0.011003155083883356,-0.19907221623829452,-0.13293576967858145,0.9670804738998412,0.027436172678357115,-0.11521073608171384,-0.35061279311776195,0.9497759342193604,0.009882992222195585,-0.1804372356051492,-0.16686767499361732,0.9689326286315918,0.017912474416551097,-0.13148409553936566,-0.3605580168465776,0.9503555297851562,0.0008164913881392529,-0.16426447033882158,-0.12192152990471754,0.965994358062744,0.010606185311362835,-0.12399542899358854,-0.3241310923227244,0.9455392360687256,-0.013656874497731548,-0.050021526359376504,0.07205915610705105,0.9992762207984924,0.013656874497731524,0.0500215263593765,-0.07205915610705105,0.9995476603507996,0.030004126685006276,-0.3143838743368788,-0.015121826857683183,0.9656128287315368,0.10284963817823511,-0.1368040697915215,-0.24148017824405732,0.9908634424209596,0.155495645034881,-0.3146128086816701,0.16792864937867447,0.960520327091217,0.24373358629998731,-0.14808838566144322,-0.11168527798283673,0.986543595790863,0.17639980571610606,-0.29373948488916696,0.18453919231182064,0.9074899554252625,0.2638438897473474,-0.1253947516282401,-0.10171178284855123,0.8838183879852295,0.19981192549069743,-0.4168061983017698,0.14771251327225152,0.9551049470901488,0.2925853431224826,-0.2550758449804218,-0.1879707179254011,0.973900020122528
5,-0.26206745065393927,0.025968211037772068,-0.3099881667821183,0.999980092048645,-0.27385056302661015,0.038962230795905745,-0.2947287823827497,0.9999281167984008,-0.27383368355887305,0.037846647557758184,-0.29476041258091046,0.9999522566795348,-0.27380895756539875,0.03702693326132642,-0.29484766242759597,0.9999385476112366,-0.2729142265660425,0.05485143831798014,-0.31678040130507407,0.9999070763587952,-0.2721842995711738,0.06386471078509381,-0.316847087549312,0.9999321103096008,-0.2712915589412056,0.07322992313475843,-0.31680295740564696,0.9998926520347596,-0.26525685333070326,0.06252336502075201,-0.19873645138882468,0.9999042749404908,-0.26035772334961693,0.10849535465240488,-0.2957913196157844,0.999841332435608,-0.2453684146915166,0.0252099292618888,-0.2690610170719172,0.9999712705612184,-0.2434930730433693,0.04313071001143686,-0.30038043732444475,0.9999708533287048,-0.18314914121514297,-0.02085276444753013,-0.11161667906812264,0.99997079372406,-0.17019625008106248,0.1848302114577522,-0.299471473587411,0.9999407529830932,-0.08316688097658619,-0.08491424435660963,-0.04178976205488043,0.9702392220497132,-0.045702372988065135,0.10805758691969382,-0.3064486882871108,0.9876601696014404,-0.01787075045562926,-0.15935940685726363,-0.09517288261226245,0.9808072447776794,0.006386568858509975,-0.07026101010186342,-0.3003002775921711,0.9678073525428772,0.011548058617682672,-0.19153216765040462,-0.12345663688722121,0.9632670283317566,0.026030969761666835,-0.11206160414786577,-0.326467670322884,0.9450284242630004,0.011099536504064296,-0.1737279863584611,-0.15234345995954113,0.9654253125190736,0.017293160160382567,-0.12699606305076977,-0.33514193853452123,0.9455972909927368,0.002134850337391792,-0.15854926052547652,-0.10760241658205082,0.9619280099868774,0.010227893789609262,-0.11978200645673853,-0.3009877731757507,0.9394555687904358,-0.014280321342604504,-0.05163079784030013,0.06813483738473486,0.9992727041244508,0.014280321342604506,0.051630797840300106,-0.06813483738473486,0.9995575547218324,0.031007628355707466,-0.30655737930820137,0.009419881361758423,0.9651612043380736,0.10008328656355552,-0.13320430829411475,-0.2388110815414362,0.991132915019989,0.15353714355400647,-0.30779150625069973,0.18016424047805024,0.9608426690101624,0.24150033011322952,-0.14822679474240272,-0.14142701934490898,0.9873433709144592,0.17429858233247503,-0.2858385826860158,0.19476823136210458,0.9072749614715576,0.2625098462615697,-0.12648645185288943,-0.1354344059668837,0.8875356316566467,0.19767351164704297,-0.40584339981987405,0.1703913859313444,0.955613613128662,0.290547005477406,-0.25489922080721206,-0.23084935066955448,0.9752941131591796
6,-0.26170582288787503,0.030543920539674328,-0.2862121141737418,0.9999818801879884,-0.2738484733161475,0.04359430358523418,-0.27131114740456874,0.9999347925186156,-0.2739028263659707,0.042200945672534795,-0.2713428925545445,0.9999566078186036,-0.27396567023935803,0.04105684586933685,-0.2714451812207701,0.9999442100524902,-0.2727757387218024,0.05923618589128772,-0.2928888803081856,0.9999157786369324,-0.27199334119047464,0.06831149544034693,-0.2929464257543998,0.9999383091926576,-0.27098651301293175,0.07763032969974343,-0.292906101793051,0.9999025464057922,-0.2657922882409325,0.06522732121603836,-0.17485074752143465,0.9999128580093384,-0.2596443217425122,0.11279224214099712,-0.265117323646943,0.9998559951782228,-0.2448787987232211,0.029334247112274198,-0.24718376195856523,0.9999738335609436,-0.24271350247519374,0.04741388559341435,-0.27715366848167944,0.9999735951423644,-0.1829062813804265,-0.01992920466831754,-0.09126027229995957,0.9999714493751526,-0.1682808973959516,0.18870338087990185,-0.27084045449183125,0.999941349029541,-0.08302945750100277,-0.08369743114426033,-0.03366724636760491,0.9680902361869812,-0.044531122559592864,0.11144656794411806,-0.2777618898877078,0.9876357913017272,-0.01576150882811775,-0.15452690777324513,-0.09661177457088517,0.979825496673584,0.006077432916277936,-0.06812733553704772,-0.27446640016777196,0.9669151306152344,0.013824691375096631,-0.18456304499081222,-0.1272351158161959,0.9615440368652344,0.02553162830216546,-0.10927874985195353,-0.3000105184813343,0.9437191486358644,0.013696097192310151,-0.1676679750283561,-0.15344582054586647,0.9638004302978516,0.016818404197692875,-0.12380755941073116,-0.3079548639555775,0.9442378878593444,0.0052113348529452385,-0.15405517674627772,-0.10883112163061191,0.9598878026008606,0.010024577379226681,-0.11705512092227037,-0.27479539651955903,0.9374398589134216,-0.014495672214598904,-0.05314433574676522,0.0645650030956382,0.9992507100105286,0.014495672214598906,0.05314433574676519,-0.0645650030956382,0.9995633363723756,0.03039932960555671,-0.303331357382593,0.022480022106763142,0.9652657508850098,0.09825360633078087,-0.12989144382022688,-0.24612628189580796,0.9914129376411438,0.15174717988286715,-0.300999761337326,0.18679905948894376,0.9609712362289428,0.23956300105367412,-0.14700171209516996,-0.1572388064648425,0.9879686236381532,0.1719118711494266,-0.2789938733691264,0.19973979695212285,0.9078023433685304,0.26072465947696166,-0.12486571073532118,-0.1524456368670578,0.8909497261047363,0.19712155347778704,-0.39703670640786526,0.1786882765591146,0.9556989073753356,0.2890717145942509,-0.2544706804411755,-0.25193985498377275,0.9763482809066772
7,-0.2625150119974502,0.03446934052876067,-0.2706352101550218,0.999983549118042,-0.27499339977900217,0.047603195621853826,-0.2534899035734792,0.9999408721923828,-0.2751475097168062,0.04603376275017152,-0.2535320766979742,0.9999605417251588,-0.27532011412438917,0.04470350628807435,-0.2536220442326298,0.9999493360519408,-0.2737796420142766,0.06311672358285819,-0.27409546556217357,0.9999236464500428,-0.27294056188492577,0.07215374708175666,-0.2741460273308416,0.9999439716339112,-0.27179395726748906,0.08149023850758877,-0.2741095336774988,0.9999115467071532,-0.2672980044569291,0.0680676840600514,-0.15578106311815135,0.9999207258224488,-0.2595513945534118,0.11664296048028139,-0.24390105104872184,0.9998694062232972,-0.24591018188567418,0.03258689244588219,-0.23005604655260153,0.9999762177467346,-0.24344977736473106,0.05080254588808337,-0.25911943951532973,0.9999760985374452,-0.1832683966273355,-0.01695361875352407,-0.07340906241110394,0.9999721050262452,-0.16706756537868883,0.19072799455551892,-0.25632251852325055,0.9999431371688844,-0.08393366634845742,-0.08222672201338277,-0.021317260916389098,0.9666303992271424,-0.04403933102176307,0.11341475872766416,-0.2673451189129128,0.9880333542823792,-0.016066512181645377,-0.15133610651606622,-0.0869729435514836,0.9794610738754272,0.005356982350349426,-0.06600700815518706,-0.26392518037131873,0.9672027826309204,0.013548765154111941,-0.1801450280916125,-0.11800706794574153,0.9608882069587708,0.024132492286818377,-0.10692225041843609,-0.29055210788335145,0.9439643025398254,0.013446263614155003,-0.16455583061490758,-0.14408095092290932,0.9631783366203308,0.015148372167632703,-0.12189107139905306,-0.2978024253887792,0.944450318813324,0.00501256684462228,-0.15222786437897473,-0.09938880712503481,0.9591026902198792,0.008415515224138878,-0.11548539996147167,-0.2641223355063373,0.9376044273376464,-0.014710709452629114,-0.05362400838306983,0.06491194647692503,0.9992511868476868,0.014710709452629095,0.05362400838306977,-0.06491194647692503,0.9995779991149902,0.0303616161857333,-0.3010301895084838,0.014709059525990767,0.9664722084999084,0.09777440840289717,-0.1299699175925483,-0.25797381127874075,0.9919705986976624,0.14955794740290884,-0.29634857532523956,0.19292345235035546,0.962287962436676,0.23703152721836476,-0.14450949714297356,-0.1616096842501846,0.9888611435890198,0.16919824835800007,-0.273199260234833,0.20537863902392856,0.9104275703430176,0.2578624933958056,-0.12042927600088588,-0.15606384671160162,0.8974539637565613,0.19596587121486686,-0.3914701896054408,0.17439099596369845,0.9568267464637756,0.28847961127758054,-0.2509972921439582,-0.2574049260999477,0.9779430627822876
8,-0.2623431604532971,0.0379927598294758,-0.2712937534919809,0.9999849796295166,-0.27504631522155976,0.05074109208016174,-0.25179231574847605,0.999946117401123,-0.2752816719668255,0.0487662738277799,-0.2518400434582009,0.999963879585266,-0.2755252364135926,0.04707050465402153,-0.2519163572717283,0.9999537467956544,-0.2735058140187039,0.06681539189247865,-0.27028767392039327,0.9999304413795472,-0.2725092158431102,0.07581392782075072,-0.27033293229483446,0.999948799610138,-0.27109798363276916,0.08531006035350626,-0.27030084512773045,0.999919295310974,-0.2673711265836446,0.0691818949722109,-0.14969919604204956,0.9999274611473083,-0.25794578095277176,0.12019447627521708,-0.23426809676346344,0.9998809099197388,-0.24624441209293574,0.03527240668024338,-0.22809571010016283,0.999978244304657,-0.24341308006218526,0.053953722828910505,-0.25443390135963784,0.9999783039093018,-0.18243621005898447,-0.014326369478589026,-0.06348474926891784,0.9999715089797974,-0.16681239789440538,0.19066331925846297,-0.2515697967083683,0.9999423623085022,-0.08387909545784913,-0.08122363544645772,-0.012337814550846773,0.9638094305992126,-0.04382367574033287,0.11424594124158234,-0.2670323108988152,0.9883891344070436,-0.01637633570602967,-0.15048563196545572,-0.0776001335609527,0.9779359102249146,0.004833315809567755,-0.06438841990062177,-0.2618422336166816,0.9668859839439392,0.012679579002516614,-0.17820500901767203,-0.10840143458474255,0.9583098292350768,0.023636045200484127,-0.10422605418023621,-0.2908631022132581,0.9432334303855896,0.01262912367071422,-0.1629171726249515,-0.13532363747557014,0.9607084393501282,0.014779706086431227,-0.12007609009742748,-0.29855939728163566,0.9437393546104432,0.004252816239992763,-0.151920856464477,-0.09044301882386209,0.9563560485839844,0.007657003544625757,-0.11406878914151887,-0.26244159663716976,0.9368317127227784,-0.014575775890123316,-0.05391144326754989,0.06684871461419836,0.999238908290863,0.01457577589012328,0.05391144326754983,-0.06684871461419836,0.999576449394226,0.030912672479947452,-0.2998827674559188,0.0034268580798414816,0.967706024646759,0.09895636425131854,-0.1316964938527063,-0.26541336856427666,0.9924366474151612,0.15036764669986014,-0.2937265301034567,0.19891323025027924,0.963093101978302,0.23651913021292026,-0.14249085670425796,-0.16287907798375412,0.9895978569984436,0.17010344848746362,-0.2703546569460917,0.213662551449878,0.9119413495063782,0.2577323750371027,-0.1174632864339012,-0.1567478348456679,0.9025819897651672,0.19783713207358425,-0.39365668452921404,0.1760238403720516,0.9571260213851928,0.2900755696353461,-0.24978986240568643,-0.2613131260233268,0.9792189002037048
9,-0.26119897479102755,0.039921984786079084,-0.27004831710032073,0.9999862313270568,-0.27390851293291396,0.05300357512065347,-0.2500286978625118,0.9999505281448364,-0.274170830136254,0.05085609640393943,-0.2500769754960426,0.9999666213989258,-0.2744470671528864,0.048902190866924516,-0.2501553094812804,0.9999573826789856,-0.2720566838979724,0.06893496570133034,-0.26928417916808833,0.9999361038208008,-0.27088040255364954,0.07769492410478146,-0.269328686807837,0.999952793121338,-0.2692753275235497,0.08720438253311892,-0.26928973730121364,0.9999257922172546,-0.2660500648475831,0.06993602854864944,-0.14835180377676382,0.9999328851699828,-0.25557457336357686,0.1226413959548588,-0.23153055033513495,0.9998908042907716,-0.24577060696624603,0.03698546262014483,-0.22592061509688713,0.9999799728393556,-0.24266188272408107,0.05532085327875051,-0.2536962646104043,0.9999802112579346,-0.18072184281689802,-0.011761810098375604,-0.05587312038100902,0.9999718070030212,-0.1659017985775359,0.18934399457204926,-0.2509749301132704,0.9999441504478456,-0.0833000299476443,-0.07988668623424719,-0.001370076489235658,0.9618783593177797,-0.043018771069390505,0.11333068211873383,-0.26813531737952034,0.9890923500061036,-0.01635868492580602,-0.15043569178808316,-0.06409996783449537,0.9774118661880492,0.005382001399993862,-0.06372019506636131,-0.26741466316438883,0.9680477976799012,0.012330645606631305,-0.17727282501402375,-0.09357515935386934,0.9575461149215698,0.024482336782273764,-0.10237949377014535,-0.29750458647807465,0.9447187781333924,0.012494280224754658,-0.16218595845358733,-0.12130789813541239,0.9599757790565492,0.015908601738157706,-0.11917263837087734,-0.30433652762855834,0.945248246192932,0.004087740466708195,-0.1522347359430224,-0.07731943825880686,0.9554786682128906,0.008471914700099344,-0.1135527860550655,-0.2679457873815584,0.938402533531189,-0.014497254576001895,-0.05391724620546622,0.06889568269252778,0.9992576241493224,0.014497254576001836,0.05391724620546619,-0.06889568269252778,0.9995887875556946,0.03288804065613521,-0.2983444340172271,-0.013053115124681117,0.969210147857666,0.10024516781171172,-0.13284529106957585,-0.27409203386022957,0.99293053150177,0.15317564776965564,-0.29296398446673466,0.19367778620549625,0.9641041159629822,0.23652538657188438,-0.14076768784295962,-0.1655752265027592,0.9903322458267212,0.17273322599274787,-0.27136179662886145,0.21018902567170927,0.9133988618850708,0.25821652156966096,-0.11572925675482987,-0.15854126463333773,0.9077032208442688,0.20080342037337184,-0.3966919786873322,0.16737802220242376,0.9575249552726746,0.291784716503961,-0.24928382606733437,-0.26363945965256036,0.9805405735969543
